"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상"
"전북특별자치도 전주시 덕진구 (5211300000)","309,018","309,018","20,774","35,055","37,507","38,293","48,509","51,455","40,188","23,914","11,428","1,865","30"
"전북특별자치도 군산시 (5213000000)","256,291","256,291","13,944","25,226","24,077","25,940","37,926","45,636","41,816","27,190","12,317","2,166","53"
"전북특별자치도 익산시 (5214000000)","267,066","267,066","12,915","24,588","28,644","27,169","34,419","47,468","46,162","28,687","14,195","2,761","58"
"전북특별자치도 정읍시 (5218000000)","101,123","101,123","4,215","8,160","8,239","7,905","11,543","17,794","19,145","13,616","8,569","1,902","35"
"전북특별자치도 남원시 (5219000000)","74,272","74,272","3,229","6,015","5,562","5,425","8,155","13,265","14,184","10,522","6,450","1,429","36"
"전북특별자치도 김제시 (5221000000)","81,676","81,676","3,447","5,657","6,340","6,774","8,719","13,226","16,430","11,884","7,427","1,735","37"
"전북특별자치도 완주군 (5271000000)","100,444","100,444","5,776","8,701","8,743","11,333","13,208","16,928","17,557","11,083","5,858","1,228","29"
"전북특별자치도 진안군 (5272000000)","24,249","24,249","829","1,478","1,529","1,369","2,051","4,054","5,708","4,065","2,615","532","19"
"전북특별자치도 무주군 (5273000000)","22,787","22,787","707","1,660","1,447","1,425","2,221","3,858","4,976","3,560","2,449","472","12"
"전북특별자치도 장수군 (5274000000)","20,922","20,922","687","1,453","1,326","1,228","1,992","3,464","4,614","3,482","2,215","451","10"
"전북특별자치도 임실군 (5275000000)","25,259","25,259","976","1,362","1,446","1,624","2,170","3,971","5,705","4,298","3,038","653","16"
"전북특별자치도 순창군 (5277000000)","27,714","27,714","1,072","2,004","2,054","1,715","2,808","4,689","5,732","4,088","2,973","563","16"
"전북특별자치도 고창군 (5279000000)","50,396","50,396","1,709","3,895","3,065","3,167","4,840","8,076","10,581","8,202","5,696","1,128","37"
"전북특별자치도 부안군 (5280000000)","47,220","47,220","1,593","3,169","3,027","2,998","4,802","7,794","10,201","7,834","4,843","946","13"
"전라남도  (4600000000)","1,779,135","1,779,135","95,608","155,722","159,467","170,351","227,279","303,160","317,260","205,183","122,263","22,308","534"
"전라남도 목포시 (4611000000)","202,003","202,003","10,262","21,434","21,102","19,524","30,832","36,195","31,932","20,022","9,362","1,305","33"
"전라남도 여수시 (4613000000)","263,284","263,284","14,532","23,928","25,708","27,211","35,920","45,772","45,446","29,394","13,239","2,075","59"
"전라남도 순천시 (4615000000)","275,492","275,492","18,026","28,086","30,025","32,673","38,613","48,028","43,263","22,816","11,591","2,321","50"
"전라남도 나주시 (4617000000)","117,076","117,076","8,480","10,491","10,082","14,525","16,607","17,407","18,719","11,944","7,428","1,359","34"
"전라남도 광양시 (4623000000)","155,259","155,259","10,816","15,862","16,061","19,902","22,534","29,765","23,505","10,740","5,022","1,028","24"
"전라남도 담양군 (4671000000)","44,177","44,177","1,655","2,845","3,201","3,185","4,327","7,537","9,794","6,521","4,300","791","21"
"전라남도 곡성군 (4672000000)","27,287","27,287","758","1,596","1,839","1,746","2,403","4,617","6,164","4,256","3,120","768","20"
"전라남도 구례군 (4673000000)","23,803","23,803","708","1,525","1,495","1,266","2,163","4,102","5,404","3,821","2,789","518","12"
"전라남도 고흥군 (4677000000)","59,455","59,455","1,806","3,123","3,089","3,059","4,962","9,021","13,442","11,379","7,843","1,687","44"
"전라남도 보성군 (4678000000)","36,858","36,858","1,124","2,189","2,161","1,987","3,179","5,764","8,151","6,487","4,774","1,022","20"
"전라남도 화순군 (4679000000)","60,215","60,215","2,443","4,713","5,610","4,750","6,303","10,880","11,867","7,415","5,270","942","22"
"전라남도 장흥군 (4680000000)","34,201","34,201","1,264","2,293","2,298","2,214","3,289","5,558","7,194","5,374","3,857","849","11"
"전라남도 강진군 (4681000000)","31,799","31,799","1,373","2,099","2,136","2,138","2,960","4,951","6,812","4,984","3,628","701","17"
"전라남도 해남군 (4682000000)","62,188","62,188","2,438","4,373","4,174","3,959","6,296","10,272","13,377","9,677","6,516","1,084","22"
"전라남도 영암군 (4683000000)","50,069","50,069","2,039","3,808","3,983","3,665","6,252","9,110","9,814","6,301","4,241","834","22"
"전라남도 무안군 (4684000000)","95,592","95,592","7,335","10,936","9,293","11,334","15,208","14,303","13,128","8,447","4,778","808","22"
"전라남도 함평군 (4686000000)","29,458","29,458","911","1,703","1,836","1,778","2,607","4,902","6,527","4,886","3,613","677","18"
"전라남도 영광군 (4687000000)","53,526","53,526","3,310","3,890","4,521","5,018","6,004","8,626","9,671","7,106","4,602","759","19"
"전라남도 장성군 (4688000000)","42,958","42,958","1,864","3,038","3,405","3,400","4,570","7,316","8,622","6,006","3,968","750","19"
"전라남도 완도군 (4689000000)","44,613","44,613","1,973","3,207","2,732","2,767","5,111","7,154","9,057","6,939","4,892","766","15"
"전라남도 진도군 (4690000000)","27,964","27,964","1,107","1,924","1,912","1,788","2,780","4,544","5,916","4,242","3,212","528","11"
"전라남도 신안군 (4691000000)","41,858","41,858","1,384","2,659","2,804","2,462","4,359","7,336","9,455","6,426","4,218","736","19"
"경상북도  (4700000000)","2,506,526","2,506,526","128,817","215,139","220,603","252,742","333,006","433,655","461,960","285,590","146,989","27,460","565"
"경상북도 포항시 (4711000000)","488,707","488,707","28,241","46,100","44,310","54,230","70,361","84,609","87,153","51,064","19,612","2,970","57"
"경상북도 포항시 남구 (4711100000)","215,206","215,206","11,175","20,238","20,039","22,297","31,410","37,523","38,745","23,701","8,824","1,232","22"
"경상북도 포항시 북구 (4711300000)","273,501","273,501","17,066","25,862","24,271","31,933","38,951","47,086","48,408","27,363","10,788","1,738","35"
"경상북도 경주시 (4713000000)","244,055","244,055","11,574","18,886","20,315","23,095","30,303","45,011","47,720","29,539","14,922","2,639","51"
"경상북도 김천시 (4715000000)","133,791","133,791","7,309","11,949","10,601","13,066","17,231","22,374","24,848","16,097","8,509","1,776","31"
"경상북도 안동시 (4717000000)","152,610","152,610","7,291","12,915","15,241","14,094","18,575","25,402","27,666","18,769","10,641","1,971","45"
"경상북도 구미시 (4719000000)","403,883","403,883","27,641","44,561","43,985","57,715","69,918","71,710","54,769","22,406","9,301","1,831","46"
"경상북도 영주시 (4721000000)","97,162","97,162","4,127","8,539","7,878","7,397","10,998","16,573","18,972","13,655","7,571","1,417","35"
"경상북도 영천시 (4723000000)","95,185","95,185","4,130","5,950","6,440","7,771","10,165","16,565","20,728","14,427","7,663","1,331","15"
"경상북도 상주시 (4725000000)","89,888","89,888","3,433","6,882","5,881","5,971","9,118","14,574","19,756","13,884","8,546","1,804","39"
"경상북도 문경시 (4728000000)","65,348","65,348","2,515","4,840","4,491","4,351","6,905","10,697","14,245","10,142","5,985","1,146","31"
"경상북도 경산시 (4729000000)","263,853","263,853","14,439","22,909","33,118","30,509","36,603","46,113","42,126","24,630","11,515","1,861","30"
"경상북도 의성군 (4773000000)","47,902","47,902","1,271","2,034","1,947","2,614","3,736","7,037","12,328","9,554","6,108","1,253","20"
"경상북도 청송군 (4775000000)","23,363","23,363","695","993","1,165","1,446","1,873","3,724","5,953","4,269","2,736","500","9"
"경상북도 영양군 (4776000000)","15,941","15,941","421","895","915","943","1,352","2,643","3,868","2,695","1,870","325","14"
"경상북도 영덕군 (4777000000)","32,698","32,698","955","1,737","1,589","1,827","2,971","5,295","7,550","5,921","4,088","753","12"
"경상북도 청도군 (4782000000)","40,117","40,117","1,008","1,983","1,742","2,139","3,532","6,250","10,364","7,871","4,266","941","21"
"경상북도 고령군 (4783000000)","29,667","29,667","865","1,657","1,742","1,852","2,897","5,257","7,218","4,878","2,762","525","14"
"경상북도 성주군 (4784000000)","40,720","40,720","1,270","1,976","2,004","2,746","3,820","6,883","10,671","7,107","3,505","728","10"
"경상북도 칠곡군 (4785000000)","104,842","104,842","5,013","10,399","8,603","9,901","17,473","21,105","17,460","9,089","4,834","940","25"
"경상북도 예천군 (4790000000)","53,887","53,887","3,552","4,719","3,196","4,935","6,780","7,486","9,863","7,403","4,858","1,081","14"
"경상북도 봉화군 (4792000000)","28,315","28,315","748","1,668","1,274","1,368","2,291","4,600","7,324","5,096","3,221","703","22"
"경상북도 울진군 (4793000000)","45,896","45,896","2,083","3,124","3,518","3,998","5,044","7,998","9,377","5,929","3,946","856","23"
"경상북도 울릉군 (4794000000)","8,696","8,696","236","423","648","774","1,060","1,749","2,001","1,165","530","109","1"
"경상남도  (4800000000)","3,207,383","3,207,383","178,917","314,631","288,774","342,312","475,747","578,976","548,119","310,472","143,566","25,362","507"
"경상남도 창원시 (4812000000)","990,898","990,898","57,333","95,624","98,036","118,858","151,162","177,024","166,981","87,672","33,004","5,118","86"
"경상남도 창원시 의창구 (4812100000)","207,141","207,141","12,053","18,950","21,291","25,310","30,579","37,814","36,843","17,221","6,069","993","18"
"경상남도 창원시 성산구 (4812300000)","246,904","246,904","15,858","24,139","28,261","36,195","37,027","46,770","40,276","13,531","4,094","740","13"
"경상남도 창원시 마산합포구 (4812500000)","175,800","175,800","9,542","15,193","15,113","18,505","25,765","28,325","31,514","21,436","8,998","1,381","28"
"경상남도 창원시 마산회원구 (4812700000)","176,275","176,275","8,518","16,309","15,954","18,205","25,374","32,051","31,823","19,817","7,272","943","9"
"경상남도 창원시 진해구 (4812900000)","184,778","184,778","11,362","21,033","17,417","20,643","32,417","32,064","26,525","15,667","6,571","1,061","18"
"경상남도 진주시 (4817000000)","335,939","335,939","20,552","33,416","37,469","39,189","47,148","57,274","52,305","31,307","14,667","2,553","59"
"경상남도 통영시 (4822000000)","116,667","116,667","4,926","12,199","8,574","8,872","17,511","21,743","22,218","13,814","5,912","883","15"
"경상남도 사천시 (4824000000)","107,935","107,935","5,329","10,097","8,895","10,333","15,292","19,477","18,362","12,443","6,533","1,156","18"
"경상남도 사천남양출장소 (4824500000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도 김해시 (4825000000)","533,035","533,035","34,282","59,085","54,011","64,389","86,394","104,579","78,089","35,367","14,554","2,242","43"
"경상남도 장유출장소 (4825200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도 밀양시 (4827000000)","99,252","99,252","3,641","6,954","6,580","7,514","10,992","16,561","22,687","15,333","7,609","1,356","25"
"경상남도 거제시 (4831000000)","231,178","231,178","14,480","29,023","18,502","22,702","44,530","45,264","33,722","15,916","5,896","1,115","28"
"경상남도 양산시 (4833000000)","361,155","361,155","25,026","37,512","32,063","44,801","60,404","63,570","54,791","29,158","12,042","1,751","37"
"경상남도 양산시웅상출장소 (4833200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도 의령군 (4872000000)","24,636","24,636","686","1,283","1,294","1,385","2,153","4,054","5,992","4,249","2,891","629","20"
"경상남도 함안군 (4873000000)","57,558","57,558","2,083","5,241","3,644","3,838","7,138","10,381","12,248","7,906","4,250","823","6"
"경상남도 창녕군 (4874000000)","54,900","54,900","1,784","3,727","2,812","3,602","5,563","9,145","13,124","9,027","5,114","990","12"
"경상남도 고성군 (4882000000)","47,099","47,099","1,241","3,796","2,641","2,528","4,993","8,209","10,722","7,689","4,352","918","10"
"경상남도 남해군 (4884000000)","40,770","40,770","1,045","2,734","2,344","2,144","3,594","6,680","9,259","7,153","4,637","1,149","31"
"경상남도 하동군 (4885000000)","39,974","39,974","1,074","2,179","2,027","2,121","3,325","7,132","9,848","6,875","4,377","990","26"
"경상남도 산청군 (4886000000)","32,745","32,745","770","1,717","1,633","1,637","2,555","5,719","8,326","5,833","3,723","805","27"
"경상남도 함양군 (4887000000)","35,472","35,472","1,111","2,521","2,007","1,975","3,257","6,124","8,060","5,693","3,940","766","18"
"경상남도 거창군 (4888000000)","58,980","58,980","2,621","5,570","4,379","4,515","6,552","9,866","11,575","7,824","4,986","1,065","27"
"경상남도 합천군 (4889000000)","39,190","39,190","933","1,953","1,863","1,909","3,184","6,174","9,810","7,213","5,079","1,053","19"
"제주특별자치도  (5000000000)","664,792","664,792","44,221","70,257","65,686","77,002","102,473","118,870","98,578","53,569","27,880","6,059","197"
"제주특별자치도 제주시 (5011000000)","485,182","485,182","33,370","52,439","50,997","59,800","75,595","86,216","68,314","36,109","18,276","3,929","137"
"제주특별자치도 서귀포시 (5013000000)","179,610","179,610","10,851","17,818","14,689","17,202","26,878","32,654","30,264","17,460","9,604","2,130","60"
